"key","value"
3350,6377
"p",1
"s",0.8028064992614475
"n",0.8778926637124569
"t",0.7602166420482521
"f",1
"c",0.8552437223042836
"k",0.6469719350073855
"e",0.9645494830132939
"w",0.9763663220088626
"o",0.9217134416543574
"y",0.5910881339241753
"b",0.9470704086656819
"g",0.5209256523879862
"k-b",0.6166912850812407
"k-e",0.6469719350073855
"k-f",0.6469719350073855
"k-c",0.5573609059576563
"k-n",0.5603151157065485
"k-o",0.604628261939931
"k-p",0.6469719350073855
"k-w",0.6410635155096012
"g-f",0.5209256523879862
"g-p",0.5209256523879862
"g-w",0.5209256523879862
"b-e",0.9116198916789758
"b-f",0.9470704086656819
"b-c",0.8023141309699655
"b-n",0.8249630723781388
"b-o",0.8687838503200394
"b-p",0.9470704086656819
"b-s",0.7535696701132447
"b-t",0.7287050713934022
"b-w",0.9234367306745446
"b-y",0.5598227474150664
"e-f",0.9645494830132939
"e-c",0.8197932053175776
"e-n",0.8778926637124569
"e-o",0.8862629246676514
"e-p",0.9645494830132939
"e-s",0.7673559822747416
"e-t",0.724766125061546
"e-w",0.9409158050221565
"e-y",0.5910881339241753
"f-c",0.8552437223042836
"f-n",0.8778926637124569
"f-o",0.9217134416543574
"f-p",1
"f-s",0.8028064992614475
"f-t",0.7602166420482521
"f-w",0.9763663220088626
"f-y",0.5910881339241753
"c-n",0.7331363860167405
"c-o",0.8124076809453471
"c-p",0.8552437223042836
"c-s",0.6669128508124077
"c-t",0.6184145741014279
"c-w",0.8316100443131462
"c-y",0.5837026095519449
"n-o",0.7996061053668144
"n-p",0.8778926637124569
"n-s",0.7516001969473166
"n-t",0.7090103397341211
"n-w",0.8542589857213195
"n-y",0.516248153618907
"o-p",0.9217134416543574
"o-s",0.7321516494337764
"o-t",0.6863613983259478
"o-w",0.8980797636632201
"o-y",0.5654849827671098
"p-s",0.8028064992614475
"p-t",0.7602166420482521
"p-w",0.9763663220088626
"p-y",0.5910881339241753
"s-t",0.7333825701624815
"s-w",0.7791728212703102
"t-w",0.7602166420482521
"w-y",0.5792712949286066
"k-b-e",0.6166912850812407
"k-b-f",0.6166912850812407
"k-b-c",0.5270802560315115
"k-b-n",0.5300344657804037
"k-b-o",0.5743476120137863
