"key","value"
10,43
"7109",0.6781914893617021
"7119",0.7792553191489362
"7129",0.5079787234042553
"7138",0.5159574468085106
"7149",0.5691489361702128
"7158",0.5585106382978723
"7169",0.675531914893617
"7178",0.6356382978723404
"7188",0.5771276595744681
"7209",0.5478723404255319
"7219",0.5026595744680851
"7229",0.6436170212765957
"7238",0.5
"7248",0.5212765957446809
"7259",0.526595744680851
"7278",0.5957446808510638
"7289",0.5026595744680851
"7298",0.523936170212766
"7109-7119",0.625
"7109-7229",0.5212765957446809
"7109-7169",0.550531914893617
"7119-7229",0.5691489361702128
"7119-7149",0.526595744680851
"7119-7169",0.6063829787234043
"7169-7229",0.5026595744680851
"7158-7178",0.5053191489361702
"7178-7188",0.5372340425531915
"7178-7278",0.5079787234042553
"7109-7119-7169",0.5159574468085106
