"itemSet","support"
1116,122938
["1"],0.017087845968712396
["4"],0.011793020457280385
["5"],0.01058965102286402
["6"],0.01829121540312876
["8"],0.031287605294825514
["10"],0.012996389891696752
["12"],0.0332129963898917
["17"],0.013718411552346571
["21"],0.02454873646209386
["25"],0.013237063778580024
["27"],0.028640192539109505
["28"],0.012996389891696752
["31"],0.0161251504211793
["32"],0.04259927797833935
["33"],0.01756919374247894
["35"],0.02045728038507822
["37"],0.014681107099879662
["38"],0.021660649819494584
["39"],0.04500601684717208
["41"],0.010108303249097473
["43"],0.020697954271961493
["45"],0.017809867629362215
["48"],0.027436823104693142
["51"],0.013718411552346571
["52"],0.017328519855595668
["54"],0.026233453670276775
["55"],0.019975932611311673
["57"],0.026714801444043323
["58"],0.01516245487364621
["68"],0.0161251504211793
["69"],0.02262334536702768
["70"],0.02430806257521059
["71"],0.03898916967509025
["72"],0.027677496991576414
["73"],0.019975932611311673
["75"],0.030806257521058963
["78"],0.02454873646209386
["85"],0.012515042117930204
["90"],0.020938628158844765
["93"],0.026474127557160047
["94"],0.013477737665463297
["96"],0.01058965102286402
["97"],0.014199759326113117
["100"],0.019735258724428398
["104"],0.010830324909747292
["105"],0.010348977135980746
["108"],0.01131167268351384
["110"],0.015643802647412757
["111"],0.010830324909747292
["112"],0.026474127557160047
["115"],0.018050541516245487
["116"],0.020216606498194945
["120"],0.05078219013237064
["122"],0.012755716004813478
["125"],0.012033694344163659
["126"],0.012033694344163659
["129"],0.017087845968712396
["130"],0.019735258724428398
["132"],0.028399518652226233
["140"],0.027196149217809867
["143"],0.01058965102286402
["145"],0.0457280385078219
["147"],0.01684717208182912
["151"],0.02454873646209386
["154"],0.015643802647412757
["157"],0.011070998796630566
["158"],0.011552346570397111
["160"],0.011070998796630566
["161"],0.023826714801444042
["162"],0.017328519855595668
["163"],0.011070998796630566
["168"],0.018772563176895306
["170"],0.011552346570397111
["171"],0.011070998796630566
["173"],0.010830324909747292
["175"],0.030806257521058963
["177"],0.049819494584837545
["181"],0.010108303249097473
["183"],0.03898916967509025
["185"],0.01131167268351384
["192"],0.020938628158844765
["193"],0.01227436823104693
["196"],0.02214199759326113
["197"],0.011793020457280385
["198"],0.01756919374247894
["201"],0.013718411552346571
["204"],0.026233453670276775
["205"],0.034416365824308064
["207"],0.011552346570397111
["208"],0.01227436823104693
["210"],0.017087845968712396
["214"],0.020697954271961493
["217"],0.056558363417569195
["227"],0.01756919374247894
["229"],0.02190132370637786
["234"],0.01444043321299639
["236"],0.027436823104693142
["239"],0.028399518652226233
["240"],0.013477737665463297
["242"],0.019253910950661854
["256"],0.010348977135980746
["258"],0.012515042117930204
["259"],0.012996389891696752
["265"],0.01516245487364621
["274"],0.025511432009626956
["275"],0.01588447653429603
["276"],0.029362214199759325
["279"],0.03104693140794224
["280"],0.020216606498194945
["283"],0.04235860409145608
["285"],0.02214199759326113
["290"],0.013959085439229843
["294"],0.01588447653429603
["296"],0.023104693140794223
["308"],0.013718411552346571
["309"],0.012996389891696752
["310"],0.014199759326113117
["319"],0.01516245487364621
["322"],0.01444043321299639
["325"],0.010348977135980746
["326"],0.013959085439229843
["332"],0.01684717208182912
["334"],0.018772563176895306
["335"],0.01227436823104693
["336"],0.011070998796630566
["343"],0.013959085439229843
["346"],0.036341756919374246
["348"],0.012996389891696752
["349"],0.02262334536702768
["350"],0.029121540312876053
["351"],0.01444043321299639
["354"],0.06064981949458484
["355"],0.01131167268351384
["357"],0.01516245487364621
["361"],0.010830324909747292
["362"],0.04428399518652226
["366"],0.010348977135980746
["368"],0.08086642599277978
["373"],0.017087845968712396
["377"],0.011070998796630566
["378"],0.01131167268351384
["381"],0.03176895306859206
["385"],0.01660649819494585
["387"],0.019253910950661854
["390"],0.026474127557160047
["392"],0.026474127557160047
["394"],0.01227436823104693
["395"],0.011070998796630566
["401"],0.03561973525872443
["403"],0.018050541516245487
["405"],0.017809867629362215
["406"],0.010108303249097473
["411"],0.02286401925391095
["413"],0.026714801444043323
["415"],0.01058965102286402
["419"],0.04861612515042118
["422"],0.014681107099879662
["423"],0.018531889290012035
["424"],0.012033694344163659
["427"],0.015403128760529482
["428"],0.011552346570397111
["438"],0.051263537906137184
["440"],0.023104693140794223
["448"],0.012996389891696752
["449"],0.02262334536702768
["450"],0.019735258724428398
["458"],0.010108303249097473
["460"],0.04380264741275572
["461"],0.013718411552346571
["464"],0.010348977135980746
["469"],0.011793020457280385
["470"],0.039470517448856796
["471"],0.02503008423586041
["472"],0.023104693140794223
["477"],0.024067388688327317
["480"],0.026233453670276775
["484"],0.012515042117930204
["486"],0.012033694344163659
["487"],0.03513838748495788
["489"],0.028640192539109505
["494"],0.046690734055354996
["496"],0.015643802647412757
["500"],0.01660649819494585
["504"],0.013477737665463297
["509"],0.03369434416365824
["510"],0.031528279181708786
["513"],0.011070998796630566
["515"],0.01444043321299639
["516"],0.017809867629362215
["517"],0.01444043321299639
["521"],0.015403128760529482
["522"],0.031528279181708786
["523"],0.023826714801444042
["526"],0.025752105896510228
["527"],0.013718411552346571
["529"],0.06738868832731648
["530"],0.012755716004813478
["534"],0.015403128760529482
["538"],0.04067388688327316
["540"],0.012996389891696752
["541"],0.03513838748495788
["548"],0.025992779783393503
["550"],0.01131167268351384
["554"],0.011070998796630566
["561"],0.029843561973525872
["563"],0.010830324909747292
["567"],0.01058965102286402
["569"],0.026955475330926595
["571"],0.029362214199759325
["572"],0.017809867629362215
["573"],0.01588447653429603
["574"],0.01227436823104693
["576"],0.010830324909747292
["577"],0.01829121540312876
["578"],0.011070998796630566
["579"],0.026474127557160047
["580"],0.020216606498194945
["581"],0.03104693140794224
["583"],0.016365824308062576
["591"],0.012755716004813478
["593"],0.025992779783393503
["594"],0.014921780986762936
["597"],0.03104693140794224
["598"],0.03537906137184116
["600"],0.01227436823104693
["605"],0.017087845968712396
["606"],0.022382671480144403
["608"],0.010830324909747292
["611"],0.010830324909747292
["614"],0.029843561973525872
["617"],0.026714801444043323
["620"],0.021660649819494584
["623"],0.020216606498194945
["628"],0.010830324909747292
["630"],0.011070998796630566
["631"],0.02214199759326113
["634"],0.027677496991576414
["638"],0.02190132370637786
["639"],0.014199759326113117
["641"],0.014199759326113117
["649"],0.01131167268351384
["651"],0.01131167268351384
["653"],0.024789410348977137
["658"],0.018772563176895306
["661"],0.02527075812274368
["663"],0.019253910950661854
["665"],0.010108303249097473
["673"],0.014681107099879662
["674"],0.02503008423586041
["675"],0.026714801444043323
["676"],0.026714801444043323
["678"],0.011070998796630566
["682"],0.042839951865222624
["684"],0.05246690734055355
["686"],0.013477737665463297
["687"],0.01684717208182912
["688"],0.011552346570397111
["692"],0.04909747292418772
["694"],0.029121540312876053
["701"],0.013237063778580024
["704"],0.02214199759326113
["706"],0.016365824308062576
["707"],0.014199759326113117
["710"],0.010348977135980746
["716"],0.011552346570397111
["718"],0.012996389891696752
["720"],0.03802647412755716
["722"],0.05246690734055355
["733"],0.011793020457280385
["735"],0.01829121540312876
["736"],0.013959085439229843
["738"],0.02503008423586041
